"","Employed total ;  Persons ;","Employed total ;  Persons ;  15-64 years ;","Employed total ;  Persons ;  15-24 years ;","Employed total ;  Persons ;  25-34 years ;","Employed total ;  Persons ;  35-44 years ;","Employed total ;  Persons ;  45-54 years ;","Employed total ;  Persons ;  55 years and over ;","Employed total ;  Persons ;  55-64 years ;","Employed total ;  Persons ;  65 years and over ;"
"Jan-2019","12595.7","12063.7","1962.8","2996.8","2716.8","2560.3","2359.0","1827.0","532.0"
"Feb-2019","12792.5","12220.1","1969.8","3027.7","2746.6","2594.6","2453.7","1881.3","572.4"
"Mar-2019","12777.5","12214.3","1940.2","3013.5","2758.7","2615.2","2450.0","1886.7","563.2"
"Apr-2019","12824.2","12256.8","1948.5","3029.8","2767.9","2623.4","2454.6","1887.2","567.4"
"May-2019","12914.2","12313.6","1954.6","3045.6","2772.2","2638.7","2503.1","1902.5","600.6"
"Jun-2019","12884.4","12273.7","1927.4","3044.0","2773.9","2619.3","2519.8","1909.1","610.7"
"Jul-2019","12879.8","12277.8","1937.8","3051.4","2761.7","2623.6","2505.5","1903.5","602.0"
"Aug-2019","12852.3","12261.3","1894.0","3043.1","2774.0","2631.2","2510.0","1919.1","591.0"
"Sep-2019","12921.3","12332.5","1909.4","3066.1","2804.3","2631.0","2510.5","1921.6","588.9"
"Oct-2019","12895.0","12317.8","1903.3","3062.0","2811.7","2633.9","2484.2","1907.0","577.2"
"Nov-2019","12989.3","12369.5","1909.3","3078.0","2819.7","2630.0","2552.4","1932.6","619.8"
"Dec-2019","13089.2","12493.0","1999.5","3092.5","2823.0","2643.9","2530.2","1934.0","596.2"
"Jan-2020","12822.6","12266.1","1941.6","3052.4","2789.1","2593.2","2446.3","1889.9","556.5"
"Feb-2020","13043.1","12443.2","1942.6","3085.0","2827.7","2652.0","2535.8","1935.9","599.9"
"Mar-2020","12994.8","12408.2","1930.5","3080.0","2834.8","2642.6","2506.8","1920.2","586.5"
"Apr-2020","12405.0","11863.3","1717.5","2923.8","2768.3","2582.5","2413.0","1871.3","541.7"
"May-2020","12184.2","11643.6","1611.2","2868.3","2737.2","2555.1","2412.4","1871.8","540.6"
"Jun-2020","12381.8","11818.1","1684.6","2902.5","2765.0","2575.7","2454.0","1890.3","563.7"
"Jul-2020","12459.8","11893.1","1745.7","2903.9","2763.7","2574.1","2472.4","1905.7","566.7"
"Aug-2020","12550.3","11966.4","1758.5","2905.4","2800.3","2595.8","2490.3","1906.4","583.9"
"Sep-2020","12553.7","11967.3","1758.8","2907.4","2794.8","2599.6","2493.1","1906.7","586.4"
"Oct-2020","12722.8","12129.9","1792.2","2949.6","2839.6","2616.8","2524.7","1931.8","592.9"
"Nov-2020","12865.1","12247.7","1819.9","2986.6","2860.3","2632.9","2565.4","1948.0","617.4"
"Dec-2020","12978.5","12349.7","1894.6","2999.6","2887.6","2629.0","2567.7","1938.9","628.8"
"Jan-2021","12716.8","12109.8","1844.8","2951.9","2840.1","2576.0","2503.9","1896.8","607.0"
"Feb-2021","13019.2","12364.6","1873.7","2998.8","2898.3","2649.0","2599.3","1944.7","654.6"
"Mar-2021","13044.9","12398.6","1889.9","3001.1","2900.3","2654.3","2599.4","1953.1","646.3"
"Apr-2021","13018.3","12400.8","1917.4","2999.4","2902.7","2630.9","2567.9","1950.4","617.5"
"May-2021","13184.0","12544.2","1928.6","3035.2","2938.1","2650.8","2631.3","1991.5","639.8"
"Jun-2021","13164.3","12528.0","1921.1","3024.2","2936.6","2656.1","2626.3","1990.0","636.3"
"Jul-2021","13139.1","12506.0","1919.7","3008.4","2939.3","2661.4","2610.3","1977.3","633.0"
"Aug-2021","12940.0","12312.1","1813.5","2975.5","2906.0","2655.5","2589.5","1961.7","627.8"
"Sep-2021","12846.0","12212.4","1754.9","2934.6","2911.5","2645.9","2599.1","1965.5","633.6"
